iata,airline,country_region
1A,Amadeus IT Group S.A.,Global
1B,Sabre travel network Asia-Pacific (ex-Abacus),APAC
1E,Travelsky,China
1F,"Infini travel information, Inc.",Japan
1G,Travelport (Galileo core),Global
1H,Sirena travel,Russia
1J,"Axess international network, Inc.",Japan
1M,Sirin,Russia
1P,Travelport (Worldspan core),Global
1S,Sabre travel network,Global
1T,Hitit Computer Services,Turkey
1U,Google/ITA,United States
2T,Timbis Air,Kenya
3J,Jubba Airways,Kenya
Q5,40-Mile Air,United States
4R,Star East Airline,Romania
4O,Interjet,Mexico
7A,Express Air Cargo,Tunisia
7S,Ryan Air Services,United States
P6,Pascan Aviation,Canada
WP,Air Antwerp,Belgium
JY,InterCaribbean Airways,Turks and Caicos Islands
JU,Air Serbia,Serbia
QH,Air Kyrgyzstan,Kyrgyzstan
XK,Air Corsica,France
EI,Aer Lingus,Ireland
A8,Aerolink Uganda,Uganda
RV,Air Canada Rouge,Canada
7A,Aztec Worldwide Airlines,United States
1B,Abacus International,Singapore
W9,Abelag Aviation,Belgium
6U,Air Cargo Germany,Germany
E4,Aero Asia International,Pakistan
ZI,Aigle Azur,France
AE,Air Ceylon,Sri Lanka
OZ,Asiana Airlines,Republic of Korea
4K*,Askari Aviation,Pakistan
8U,Afriqiyah Airways,Libya
Q9,Afrinat International Airlines,Gambia
KI,Air Atlantique,United Kingdom
QB,Air Alma,Canada
LD,Air Hong Kong,Hong Kong
UX,Air Europa,Spain
IG,Air Italy,Italy
NX,Air Macau,Macao
ZV,Air Midwest,United States
HM,Air Seychelles,Seychelles
AF,Air France,France
SB,Air Caledonie International,France
EH,Air Nippon Network Co. Ltd.,Japan
ZW,Air Wisconsin,United States
YI,Air Sunshine,United States
GN,Air Gabon,Gabon
NQ,Air Japan,Japan
VD,Air Liberté,France
TT,Air Lithuania,Lithuania
4N,Air North Charter - Canada,Canada
"NZ
TE",Air New Zealand,New Zealand
QM,Air Malawi,Malawi
ML,Air Mediterranee,France
P8,Air Mekong,Vietnam
